number,country,farris,dependence,agreement_type,in_place,after_lisbon,signed,strength,scope,total,cases,total2,enforcement,total3,gsp,export,balance,export_share,import,import_share,import_energy,import_enshare,import_raw,freedom,echr
1,Albania (Western Balkans),0.84,0.09,2,1,0,2006,3,3,6,,6,1,7,0,25288.8,13480,0.15,11808.5,0.1,2208.6,0.07,671.5,6,1
2,Algeria,0.17,0.13,2,1,0,2002,3,2,5,,5,0,5,0,195053.4,-42263.8,1.21,237317.6,1.41,229380.9,0,707,11,0
3,Andorra,4.22,0.02,1,1,0,1990,0,0,0,,0,1,1,0,11241,10643.7,0.1,597.1,0,0.5,0,0,2,1
4,Armenia,-0.05,0.03,3,1,0,1996,3,3,6,,6,1,7,1,6661.2,3687.8,0,2973.6,0,0,0,561.7,9.2,0
5,Bosnia and Herzegovina (Western Balkans),1.13,0.19,2,1,0,2008,3,3,6,,6,0,6,0,49855.8,16687.6,0.31,33167.9,0.2,2028.1,0.04,3780.7,7.1,1
6,Botswana (SADC),1.49,0.12,2,1,1,2016,2,1,3,,3,0,4,0,5075.2,-13719.3,0.02,18794.7,0.12,0,0,439,5.1,0
7,Chile,1.01,0.04,2,1,0,2002,3,2,5,,5,1,6,0,79064.2,-8830.5,0.47,87894.6,0.51,17944.1,0,24395.6,2,0
8,Egypt,-1.4,0.03,2,1,0,2001,3,2,5,,5,0,5,0,169400.2,90695.7,1.04,78704.5,0.47,35094,0.88,2654.6,11.1,0
9,Eswatini (SADC),,0.03,2,1,1,2016,2,1,3,,3,0,4,0,344.9,-1092.2,0,1436.9,0,0,0,7.1,12.2,0
11,Georgia,0.52,0.04,2,1,1,2014,3,3,6,,6,0,6,0,17730.1,11550,0.1,6180.3,0,109680.7,0.03,1894.6,6.4,1
12,Iceland,4.92,0.17,2,1,0,1992,0,1,1,,1,1,2,0,24038.2,-5038.7,0.13,29076.8,0.2,51.6,0,679,2,0
13,Israel,-1.36,0.04,2,1,0,1995,1,2,3,,3,0,3,0,175970.9,49681.3,1.07,126289.6,0.74,8936,0.23,3995.5,3.3,0
14,Japan,2.07,0.01,2,1,1,2018,0,2,2,,2,0,2,0,531945.2,-106016.2,3.22,637961.5,3.81,2758.5,0.08,7464.2,2.4,0
15,Jordan,-0.24,0.01,2,1,0,1997,2,2,4,,4,1,5,0,35203,32030.9,0.2,3172,0,44.7,0,509.7,10.66666667,0
16,Kosovo *,1.54,0.02,2,1,1,2015,3,3,6,,6,1,7,0,7773.2,6698.2,0.03,1075,0,1.4,0,240.6,8.1,0
17,Lebanon,-0.19,0.01,2,1,0,2002,2,2,4,,4,1,5,0,62323.5,58491.9,0.39,3831.7,0,20.9,0,915.8,8.9,0
18,Liechtenstein,4.35,0.14,2,1,0,1992,0,1,1,,1,1,2,0,12662.1,2262.4,0.1,10399.6,0.1,37,0,79.2,2.3,1
